1.000000e+06    2.373769e-01    2.376523e-01    2.380653e-01    2.387538e-01    2.401307e-01    2.407910e-01    2.372485e-01    2.338532e-01    2.127622e-01    2.143206e-01    2.152106e-01    1.944531e-01
2.000000e+06    2.365393e-01    2.366472e-01    2.368089e-01    2.370786e-01    2.376179e-01    2.375590e-01    2.342346e-01    2.310934e-01    2.129958e-01    2.142616e-01    2.149364e-01    1.972570e-01
3.000000e+06    2.360493e-01    2.360592e-01    2.360740e-01    2.360987e-01    2.361480e-01    2.356683e-01    2.324715e-01    2.294790e-01    2.131324e-01    2.142271e-01    2.147760e-01    1.988972e-01
4.000000e+06    2.357017e-01    2.356420e-01    2.355525e-01    2.354034e-01    2.351051e-01    2.343269e-01    2.312206e-01    2.283335e-01    2.132293e-01    2.142026e-01    2.146622e-01    2.000609e-01
5.000000e+06    2.354321e-01    2.353185e-01    2.351481e-01    2.348641e-01    2.342961e-01    2.332864e-01    2.302503e-01    2.274451e-01    2.133045e-01    2.141835e-01    2.145739e-01    2.009635e-01
6.000000e+06    2.352117e-01    2.350541e-01    2.348176e-01    2.344235e-01    2.336352e-01    2.324363e-01    2.294575e-01    2.267191e-01    2.133659e-01    2.141680e-01    2.145018e-01    2.017011e-01
7.000000e+06    2.350255e-01    2.348305e-01    2.345382e-01    2.340509e-01    2.330764e-01    2.317175e-01    2.287872e-01    2.261053e-01    2.134179e-01    2.141549e-01    2.144408e-01    2.023246e-01
8.000000e+06    2.348641e-01    2.346369e-01    2.342961e-01    2.337282e-01    2.325923e-01    2.310949e-01    2.282066e-01    2.255737e-01    2.134629e-01    2.141435e-01    2.143880e-01    2.028648e-01
9.000000e+06    2.347218e-01    2.344661e-01    2.340827e-01    2.334435e-01    2.321653e-01    2.305457e-01    2.276944e-01    2.251047e-01    2.135025e-01    2.141335e-01    2.143414e-01    2.033413e-01
1.000000e+07    2.345945e-01    2.343133e-01    2.338917e-01    2.331889e-01    2.317833e-01    2.300544e-01    2.272363e-01    2.246852e-01    2.135380e-01    2.141245e-01    2.142997e-01    2.037675e-01
2.000000e+07    2.337569e-01    2.333082e-01    2.326353e-01    2.315137e-01    2.292705e-01    2.268224e-01    2.242223e-01    2.219254e-01    2.137716e-01    2.140655e-01    2.140255e-01    2.065714e-01
3.000000e+07    2.332669e-01    2.327203e-01    2.319003e-01    2.305338e-01    2.278007e-01    2.249318e-01    2.224592e-01    2.203110e-01    2.139082e-01    2.140309e-01    2.138650e-01    2.082115e-01
4.000000e+07    2.329193e-01    2.323031e-01    2.313789e-01    2.298385e-01    2.267577e-01    2.235903e-01    2.212083e-01    2.191655e-01    2.140051e-01    2.140064e-01    2.137512e-01    2.093753e-01
5.000000e+07    2.326496e-01    2.319795e-01    2.309744e-01    2.292992e-01    2.259488e-01    2.225499e-01    2.202380e-01    2.182770e-01    2.140803e-01    2.139874e-01    2.136629e-01    2.102779e-01
6.000000e+07    2.324293e-01    2.317151e-01    2.306439e-01    2.288586e-01    2.252879e-01    2.216997e-01    2.194452e-01    2.175511e-01    2.141418e-01    2.139719e-01    2.135908e-01    2.110155e-01
7.000000e+07    2.322430e-01    2.314916e-01    2.303645e-01    2.284860e-01    2.247290e-01    2.209809e-01    2.187749e-01    2.169373e-01    2.141937e-01    2.139588e-01    2.135298e-01    2.116390e-01
8.000000e+07    2.320817e-01    2.312980e-01    2.301225e-01    2.281633e-01    2.242449e-01    2.203583e-01    2.181943e-01    2.164057e-01    2.142387e-01    2.139474e-01    2.134770e-01    2.121792e-01
9.000000e+07    2.319393e-01    2.311272e-01    2.299090e-01    2.278786e-01    2.238180e-01    2.198091e-01    2.176821e-01    2.159367e-01    2.142784e-01    2.139374e-01    2.134304e-01    2.126556e-01
1.000000e+08    2.318120e-01    2.309744e-01    2.297180e-01    2.276240e-01    2.234360e-01    2.193178e-01    2.172240e-01    2.155172e-01    2.143139e-01    2.139284e-01    2.133887e-01    2.130818e-01
2.000000e+08    2.330543e-01    2.317151e-01    2.299802e-01    2.276081e-01    2.233925e-01    2.191050e-01    2.164282e-01    2.146695e-01    2.134619e-01    2.132772e-01    2.129955e-01    2.124551e-01
3.000000e+08    2.337811e-01    2.321484e-01    2.301335e-01    2.275988e-01    2.233670e-01    2.189806e-01    2.159627e-01    2.141736e-01    2.129635e-01    2.128962e-01    2.127655e-01    2.120884e-01
4.000000e+08    2.342967e-01    2.324558e-01    2.302423e-01    2.275922e-01    2.233490e-01    2.188922e-01    2.156324e-01    2.138217e-01    2.126099e-01    2.126259e-01    2.126022e-01    2.118283e-01
5.000000e+08    2.346966e-01    2.326943e-01    2.303267e-01    2.275871e-01    2.233350e-01    2.188237e-01    2.153762e-01    2.135488e-01    2.123356e-01    2.124163e-01    2.124757e-01    2.116265e-01
6.000000e+08    2.343046e-01    2.327043e-01    2.306722e-01    2.279839e-01    2.233191e-01    2.187926e-01    2.151729e-01    2.130448e-01    2.119274e-01    2.119922e-01    2.120399e-01    2.113582e-01
7.000000e+08    2.339731e-01    2.327127e-01    2.309642e-01    2.283194e-01    2.233057e-01    2.187663e-01    2.150009e-01    2.126186e-01    2.115823e-01    2.116337e-01    2.116714e-01    2.111314e-01
8.000000e+08    2.336859e-01    2.327200e-01    2.312172e-01    2.286101e-01    2.232940e-01    2.187435e-01    2.148520e-01    2.122495e-01    2.112834e-01    2.113231e-01    2.113523e-01    2.109350e-01
