Rosseland opacity table for the element mix X=0.70, Y=0.28 and Z=0.20
based on Seaton et al. (1994),  Alexander & Ferguson (1994) ApJ, 437, 879, 
and Henning & Stognienko R. (1996), A&A 311, 291 in OP-format (log T vs log R)
000024 000141 --- number of points in log R and log T
2.000 +0.000 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315 +0.315
2.050 +0.000 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403 +0.403
2.100 +0.000 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479 +0.479
2.150 +0.000 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543 +0.543
2.200 +0.000 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 +0.597 0.597 +0.597 +0.597 +0.597
2.250 +0.000 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643 +0.643
2.300 +0.000 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683 +0.683
2.350 +0.000 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722 +0.722
2.400 +0.000 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763 +0.763
2.450 +0.000 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803 +0.803
2.500 +0.000 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836 +0.836
2.550 +0.000 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852 +0.852
